item_name,view_users,cart_users,checkout_users,purchase_users,item_revenue,view_to_cart_pct,cart_to_checkout_pct,checkout_to_purchase_pct,view_to_purchase_pct
Google Land & Sea Nalgene Water Bottle,6782,1406,46,52,1455.0,20.73,3.27,113.04,0.77
YouTube Jotter Task Pad,6731,1441,85,52,413.0,21.41,5.9,61.18,0.77
Google Land & Sea Mug,6692,1458,50,36,906.0,21.79,3.43,72.0,0.54
Google Land & Sea Tech Taco,6670,1438,42,23,125.0,21.56,2.92,54.76,0.34
Google Leather Strap Hat Black,6544,2532,4,34,826.0,38.69,0.16,850.0,0.52
Android Iconic Crewneck Sweatshirt,6402,1547,108,86,5159.0,24.16,6.98,79.63,1.34
Google Speckled Beanie Grey,6391,2518,61,64,1656.0,39.4,2.42,104.92,1.0
Google Red Speckled Tee,6346,1871,146,134,4428.0,29.48,7.8,91.78,2.11
Android Garden Tee Orange,6285,1353,23,27,585.0,21.53,1.7,117.39,0.43
Google Land & Sea Women's Eco Tee,6232,1235,7,10,200.0,19.82,0.57,142.86,0.16
Android Iconic Beanie,6161,2503,34,26,268.0,40.63,1.36,76.47,0.42
Android Iconic Hat White,5931,2447,29,23,394.0,41.26,1.19,79.31,0.39
YouTube Small Sticker Sheet,5806,1128,3,12,135.0,19.43,0.27,400.0,0.21
Google Sherpa Zip Hoodie Navy,5767,882,52,73,4897.0,15.29,5.9,140.38,1.27
Google Land & Sea Unisex Tee,5696,1161,2,0,0.0,20.38,0.17,0.0,0.0
Noogler Android Figure,5633,1213,131,98,2016.0,21.53,10.8,74.81,1.74
Google Large Tote White,5578,1139,78,74,1367.0,20.42,6.85,94.87,1.33
YouTube Standards Zip Hoodie Black,5391,876,24,15,888.0,16.25,2.74,62.5,0.28
YouTube Transmission Journal Red,5228,908,14,18,636.0,17.37,1.54,128.57,0.34
Google Glass Bottle,5211,1494,118,84,2244.0,28.67,7.9,71.19,1.61
Google Beekeepers Tee Mint,5207,1298,58,46,752.0,24.93,4.47,79.31,0.88
Google Land & Sea Tote Bag,5116,1007,50,35,784.0,19.68,4.97,70.0,0.68
Google Campus Bike Tote Navy,5038,846,62,51,673.0,16.79,7.33,82.26,1.01
Google Campus Bike Bottle,5020,1319,41,33,876.0,26.27,3.11,80.49,0.66
Google Flat Front Bag Grey,4971,949,110,59,2196.0,19.09,11.59,53.64,1.19
Stan and Friends Tee Green,4962,1267,45,38,700.0,25.53,3.55,84.44,0.77
YouTube Crew Socks,4958,912,36,41,1092.0,18.39,3.95,113.89,0.83
Google Utility BackPack,4943,812,63,38,5256.0,16.43,7.76,60.32,0.77
Google Cork Base Tumbler,4904,1360,37,34,1281.0,27.73,2.72,91.89,0.69
YouTube Play Mug,4861,793,55,49,869.0,16.31,6.94,89.09,1.01
Keyboard DOT Sticker,4787,1265,85,60,404.0,26.43,6.72,70.59,1.25
Google Dino Game Tee,4742,946,101,83,3592.0,19.95,10.68,82.18,1.75
Google Women's Microfleece Jacket Black,4699,1156,44,33,2130.0,24.6,3.81,75.0,0.7
Android Iconic Glass Bottle Green,4680,1365,21,16,503.0,29.17,1.54,76.19,0.34
YouTube Iconic Play Pin,4674,736,49,27,381.0,15.75,6.66,55.1,0.58
Google Crew Socks,4587,1006,153,129,2508.0,21.93,15.21,84.31,2.81
Google Men's Tech Fleece Grey,4571,1488,88,90,9965.0,32.55,5.91,102.27,1.97
Google Confetti Accessory Pouch,4549,829,20,14,167.0,18.22,2.41,70.0,0.31
Google Tech Taco,4542,1053,13,13,81.0,23.18,1.23,100.0,0.29
Stainless Bent Straw/Cleaner,4499,1293,19,13,46.0,28.74,1.47,68.42,0.29
#IamRemarkable Water Bottle,4489,1326,26,22,543.0,29.54,1.96,84.62,0.49
Google Mesh Bag Red,4478,841,13,13,484.0,18.78,1.55,100.0,0.29
Google Mural Bottle,4381,1308,23,25,624.0,29.86,1.76,108.7,0.57
Google Cup Cap Tumbler Grey,4349,1290,37,22,834.0,29.66,2.87,59.46,0.51
Google Campus Bike Carry Pouch,4299,778,22,23,236.0,18.1,2.83,104.55,0.54
Google Incognito Messenger Bag,4296,765,18,12,900.0,17.81,2.35,66.67,0.28
Android Iconic Mug Gray,4295,1260,49,30,556.0,29.34,3.89,61.22,0.7
Google Mesh Bag Blue,4295,774,53,32,322.0,18.02,6.85,60.38,0.75
Google Tudes Recycled Tee,4256,1143,31,21,576.0,26.86,2.71,67.74,0.49
Mural Food Container,4244,696,13,13,536.0,16.4,1.87,100.0,0.31
Google Phone Stand Bamboo,4218,980,41,45,305.0,23.23,4.18,109.76,1.07
Google Woodtop Bottle Black,4168,1239,67,56,2202.0,29.73,5.41,83.58,1.34
Google Mouse Pad Navy,4108,1036,33,25,177.0,25.22,3.19,75.76,0.61
Google Women's Puff Jacket Black,4009,1055,45,45,5313.0,26.32,4.27,100.0,1.12
Google Bottle Cleaner,3905,1144,10,4,40.0,29.3,0.87,40.0,0.1
Google Jotter Task Pad,3839,852,6,11,106.0,22.19,0.7,183.33,0.29
Google Men's Puff Jacket Black,3773,756,60,55,6187.0,20.04,7.94,91.67,1.46
Google Small Cable Organizer Blue,3757,885,24,20,273.0,23.56,2.71,83.33,0.53
Google Women's Grid Zip-Up,3753,1000,55,49,3132.0,26.65,5.5,89.09,1.31
#IamRemarkable Ladies T-Shirt,3643,981,24,25,331.0,26.93,2.45,104.17,0.69
Google See-No Hear-No Set,3584,780,54,41,627.0,21.76,6.92,75.93,1.14
Android Jotter Task Pad,3458,677,9,12,50.0,19.58,1.33,133.33,0.35
Android Iconic Pin,3373,741,24,18,79.0,21.97,3.24,75.0,0.53
Google LoveHandle Black,3266,710,32,30,440.0,21.74,4.51,93.75,0.92
Google Toddler FC Tee Charcoal,3229,696,46,38,1220.0,21.55,6.61,82.61,1.18
Google Black Tee,3168,692,0,0,0.0,21.84,0.0,,0.0
Google Laptop and Cell Phone Stickers,3136,931,186,136,1095.0,29.69,19.98,73.12,4.34
Google Pocket Tee Grey,3107,807,0,0,0.0,25.97,0.0,,0.0
Google Cloud  Unisex Zip Hoodie,3087,869,0,0,0.0,28.15,0.0,,0.0
Google Unisex Pride Eco-Tee Black,3018,624,0,0,0.0,20.68,0.0,,0.0
YouTube 25 oz Gear Cap Bottle Black,3017,491,17,16,438.0,16.27,3.46,94.12,0.53
Google Metallic Notebook Set,2992,949,173,117,1870.0,31.72,18.23,67.63,3.91
Google Thermal Tumbler Navy,2975,584,73,74,2449.0,19.63,12.5,101.37,2.49
Google Large Standard Journal Grey,2963,846,91,66,1657.0,28.55,10.76,72.53,2.23
#IamRemarkable Unisex T-Shirt,2942,719,60,47,807.0,24.44,8.34,78.33,1.6
Google Youth FC Tee Charcoal,2937,723,27,29,1000.0,24.62,3.73,107.41,0.99
Google Black Cork Journal,2907,834,103,72,1159.0,28.69,12.35,69.9,2.48
Google Camp Mug Ivory,2904,835,168,178,3208.0,28.75,20.12,105.95,6.13
Google Cloud Pen,2850,743,69,42,251.0,26.07,9.29,60.87,1.47
Google Perk Thermal Tumbler,2841,539,105,101,3308.0,18.97,19.48,96.19,3.56
Google Crewneck Sweatshirt Grey,2839,959,80,76,4499.0,33.78,8.34,95.0,2.68
Google Super G Tumbler (Red Lid),2838,576,50,39,1223.0,20.3,8.68,78.0,1.37
Google Youth FC Longsleeve Charcoal,2834,669,32,23,804.0,23.61,4.78,71.88,0.81
Google Pen White,2823,930,126,102,516.0,32.94,13.55,80.95,3.61
Google Recycled Pen Black,2777,561,54,39,175.0,20.2,9.63,72.22,1.4
Google Super G Tumbler (Blue Lid),2755,522,13,19,552.0,18.95,2.49,146.15,0.69
Google Split Seam Tee Olive,2725,769,51,31,881.0,28.22,6.63,60.78,1.14
Snowflake Android Cardboard Sculpture,2706,609,28,23,224.0,22.51,4.6,82.14,0.85
Google Clear Pen 4-Pack,2702,904,135,138,1376.0,33.46,14.93,102.22,5.11
Google Emoji Sticker Pack,2677,768,61,51,551.0,28.69,7.94,83.61,1.91
Google Cotopaxi Shell,2656,402,102,71,3736.0,15.14,25.37,69.61,2.67
Android Pocket Onesie Navy,2601,717,42,48,1017.0,27.57,5.86,114.29,1.85
Google Cambridge Campus Sticker,2572,797,24,18,56.0,30.99,3.01,75.0,0.7
Google Confetti Slim Task Pad,2490,705,19,23,282.0,28.31,2.7,121.05,0.92
Google Mini Kick Ball,2481,418,26,36,270.0,16.85,6.22,138.46,1.45
Google NYC Campus Sticker,2475,763,43,42,100.0,30.83,5.64,97.67,1.7
#IamRemarkable Unisex Hoodie,2451,461,36,28,995.0,18.81,7.81,77.78,1.14
Google Cambridge Campus Zip Hoodie,2424,668,19,16,667.0,27.56,2.84,84.21,0.66
Google Canteen Bottle Black,2421,607,126,114,5303.0,25.07,20.76,90.48,4.71
Google Aluminum Bottle Red,2407,617,39,21,175.0,25.63,6.32,53.85,0.87
Google NYC Campus Bottle,2342,686,42,33,486.0,29.29,6.12,78.57,1.41
Google Women's Eco Tee Black,2291,589,1,1,35.0,25.71,0.17,100.0,0.04
Android Buoy Bottle,2282,433,86,52,523.0,18.97,19.86,60.47,2.28
Candy Cane Android Cardboard Sculpture,2275,281,0,1,8.0,12.35,0.0,,0.04
Google NYC Campus Mug,2207,664,92,91,979.0,30.09,13.86,98.91,4.12
Google Infant Hero Tee Olive,2200,538,37,39,646.0,24.45,6.88,105.41,1.77
Google Camp Mug Gray,2183,721,116,84,1394.0,33.03,16.09,72.41,3.85
Google Cambridge Campus Mug,2170,623,65,44,368.0,28.71,10.43,67.69,2.03
Google Cambridge Campus Bottle,2164,614,18,7,77.0,28.37,2.93,38.89,0.32
Google Toddler Tee White,2163,498,31,27,571.0,23.02,6.22,87.1,1.25
Google NYC Campus Lapel Pin,2148,617,33,24,89.0,28.72,5.35,72.73,1.12
Google Cambridge Campus Unisex Tee,2144,608,16,13,194.0,28.36,2.63,81.25,0.61
Google Cambridge Campus Ladies Tee,2141,604,7,6,106.0,28.21,1.16,85.71,0.28
Google Crew Combed Cotton Sock,2131,539,82,82,2002.0,25.29,15.21,100.0,3.85
Google Cambridge Campus Tote,2113,600,5,4,36.0,28.4,0.83,80.0,0.19
Google Color Block Notebook,2111,392,16,17,282.0,18.57,4.08,106.25,0.81
Google Bear Baby Blanket Beige,2094,565,23,33,989.0,26.98,4.07,143.48,1.58
Google Bot (Multicolored),2084,497,63,36,414.0,23.85,12.68,57.14,1.73
Google Light Pen Blue,2060,762,109,83,286.0,36.99,14.3,76.15,4.03
Google 24oz Ring Bottle Blue,2016,500,44,43,938.0,24.8,8.8,97.73,2.13
Google Decal,2014,529,60,63,197.0,26.27,11.34,105.0,3.13
Google Sunglasses,1990,323,81,68,1007.0,16.23,25.08,83.95,3.42
Google Campus Bike,1986,150,111,96,4352.0,7.55,74.0,86.49,4.83
Google Youth Hero Tee Grey,1982,481,40,33,944.0,24.27,8.32,82.5,1.66
Google Chrome Dino Light Up Water Bottle,1973,441,12,7,191.0,22.35,2.72,58.33,0.35
Google Toddler FC Zip Hoodie,1973,371,87,73,2352.0,18.8,23.45,83.91,3.7
Supernatural Paper Backpack,1937,323,20,5,450.0,16.68,6.19,25.0,0.26
Maze Pen,1906,488,60,46,194.0,25.6,12.3,76.67,2.41
Google Hemp Tote,1840,402,63,49,1296.0,21.85,15.67,77.78,2.66
Google Mural Sticker Sheet,1807,576,80,66,194.0,31.88,13.89,82.5,3.65
Google Mountain View Tee Blue,1794,341,0,0,0.0,19.01,0.0,,0.0
#IamRemarkable Journal,1757,581,41,35,633.0,33.07,7.06,85.37,1.99
Flamingo and Friends Tee Blue,1754,373,35,26,456.0,21.27,9.38,74.29,1.48
Google Pen Citron,1729,564,57,50,140.0,32.62,10.11,87.72,2.89
Android Iconic Sticker Sheet,1717,545,22,14,112.0,31.74,4.04,63.64,0.82
Google Toddler Hero Tee Black,1712,499,24,22,375.0,29.15,4.81,91.67,1.29
Google Men's Tech Fleece Vest Charcoal,1707,365,68,59,5549.0,21.38,18.63,86.76,3.46
Google Campus Bike Grid Task Pad,1702,498,23,22,778.0,29.26,4.62,95.65,1.29
Google Tee Blue,1669,422,16,16,190.0,25.28,3.79,100.0,0.96
Android Iconic 4&quot; Decal,1663,540,26,17,57.0,32.47,4.81,65.38,1.02
Google Youth Hero Tee Maroon,1654,415,21,22,538.0,25.09,5.06,104.76,1.33
Google Shoreline Water Bottle,1631,375,22,10,246.0,22.99,5.87,45.45,0.61
Google Youth Badge Tee Navy,1613,533,27,24,444.0,33.04,5.07,88.89,1.49
Supernatural Paper Lunch Sack,1599,270,17,13,271.0,16.89,6.3,76.47,0.81
Google Youth Badge Tee Olive,1574,493,36,30,545.0,31.32,7.3,83.33,1.91
Android Pocket Toddler Tee Navy,1571,506,34,27,556.0,32.21,6.72,79.41,1.72
Google Tee Red,1533,415,25,22,243.0,27.07,6.02,88.0,1.44
Google Tee Dark Blue,1528,375,0,0,0.0,24.54,0.0,,0.0
Google Clear Framed Yellow Shades,1519,227,62,45,375.0,14.94,27.31,72.58,2.96
Google ApPeel Journal Red,1487,453,31,22,697.0,30.46,6.84,70.97,1.48
Google Pride Sticker,1482,469,72,45,93.0,31.65,15.35,62.5,3.04
Google Infant Charcoal Onesie,1446,364,27,45,1080.0,25.17,7.42,166.67,3.11
Supernatural Paper Tote,1427,264,18,13,376.0,18.5,6.82,72.22,0.91
Google Light Pen Red,1426,554,83,69,247.0,38.85,14.98,83.13,4.84
Google Crew Striped Athletic Sock,1419,394,57,56,1357.0,27.77,14.47,98.25,3.95
Google Incognito Zip Pack,1419,140,43,25,1540.0,9.87,30.71,58.14,1.76
Google Tracking Hat,1414,0,0,0,0.0,0.0,,,0.0
Google Confetti Task Pad,1384,272,29,23,225.0,19.65,10.66,79.31,1.66
Google Men's Softshell Moss,1377,283,34,30,2866.0,20.55,12.01,88.24,2.18
Google Toddler Hero Tee Olive,1355,243,13,16,399.0,17.93,5.35,123.08,1.18
Google Recycled Pen Green,1339,316,19,11,45.0,23.6,6.01,57.89,0.82
Google Felt Luggage Tag,1324,279,30,20,168.0,21.07,10.75,66.67,1.51
Google KeepCup,1308,195,49,42,1792.0,14.91,25.13,85.71,3.21
Google Tee F/C Black,1295,429,4,7,118.0,33.13,0.93,175.0,0.54
Google Cloth & Pouch Black,1291,340,7,8,82.0,26.34,2.06,114.29,0.62
Google Cork Card Holder,1277,263,34,25,403.0,20.6,12.93,73.53,1.96
Google Pen Bright Blue,1273,495,55,48,120.0,38.88,11.11,87.27,3.77
Google Cork Pencil Pouch,1262,281,46,22,234.0,22.27,16.37,47.83,1.74
Google Tee Grey,1257,269,22,16,191.0,21.4,8.18,72.73,1.27
Google Cork Passport Holder,1245,256,32,21,442.0,20.56,12.5,65.63,1.69
Google Cork Tablet Case,1174,232,6,6,110.0,19.76,2.59,100.0,0.51
Google Mountain View Campus Unisex Tee,1166,330,7,7,144.0,28.3,2.12,100.0,0.6
Google Cork Key Ring,1157,258,21,15,171.0,22.3,8.14,71.43,1.3
Google Knit Blanket,1143,207,25,14,1069.0,18.11,12.08,56.0,1.22
Google Tonal Tee Spearmint,1134,94,0,2,27.0,8.29,0.0,,0.18
Google Premium Sunglasses,1130,222,40,31,599.0,19.65,18.02,77.5,2.74
Google Youth FC Zip Hoodie,1111,151,7,6,252.0,13.59,4.64,85.71,0.54
Google Light Pen Green,1111,423,72,61,226.0,38.07,17.02,84.72,5.49
Android Iconic Socks,1108,346,22,20,427.0,31.23,6.36,90.91,1.81
Google Tonal Tee Coral,1104,257,10,7,85.0,23.28,3.89,70.0,0.63
Google Mural Sticky Note Pad,1087,363,57,46,675.0,33.39,15.7,80.7,4.23
Google Mural Socks,1082,314,34,38,729.0,29.02,10.83,111.76,3.51
Stan and Friends Onesie Green,1055,196,18,24,396.0,18.58,9.18,133.33,2.27
Google Red Kids Sunglasses,1052,223,23,23,157.0,21.2,10.31,100.0,2.19
Android Pocket Tee Navy,1049,296,73,53,1518.0,28.22,24.66,72.6,5.05
Google Frisbee,1020,137,22,22,50.0,13.43,16.06,100.0,2.16
Google Pen Grey,1014,422,44,30,83.0,41.62,10.43,68.18,2.96
Google Black Cloud Zip Hoodie,1002,281,63,46,4681.0,28.04,22.42,73.02,4.59
Stainless Straight Straw/Cleaner,1002,272,26,20,133.0,27.15,9.56,76.92,2.0
Google Campus Bike Corkbase Mug Blue,985,222,47,49,947.0,22.54,21.17,104.26,4.97
Google Packable Bag Black,978,185,76,50,1488.0,18.92,41.08,65.79,5.11
Google Pen Grass Green,970,393,32,28,68.0,40.52,8.14,87.5,2.89
White Google Shoreline Bottle,955,286,36,20,596.0,29.95,12.59,55.56,2.09
Google Raincoat Navy,944,149,18,24,2664.0,15.78,12.08,133.33,2.54
Google Mens Microfleece Jacket Black,942,144,10,9,431.0,15.29,6.94,90.0,0.96
Android Pocket Onesie White,934,92,0,1,18.0,9.85,0.0,,0.11
Google Women's Tech Fleece Vest Charcoal,928,216,13,22,1188.0,23.28,6.02,169.23,2.37
Google Youth F/C Pullover Hoodie,922,135,3,4,128.0,14.64,2.22,133.33,0.43
Google Confetti Pen White,912,206,28,22,56.0,22.59,13.59,78.57,2.41
Google Incognito Flap Pack,905,59,2,6,360.0,6.52,3.39,300.0,0.66
Google Lightweight Crew Sweatshirt Grey,897,199,0,0,0.0,22.19,0.0,,0.0
#IamRemarkable Pen,896,332,3,5,127.0,37.05,0.9,166.67,0.56
Google Stylus Pen w/ LED Light,834,310,0,1,4.0,37.17,0.0,,0.12
Google Campus Bike Mini Backpack,820,66,24,18,944.0,8.05,36.36,75.0,2.2
Google Blue Kids Sunglasses,812,198,49,39,255.0,24.38,24.75,79.59,4.8
Google Striped Penny Pouch,810,222,23,15,81.0,27.41,10.36,65.22,1.85
Google Mountain View Campus Sticker,792,334,13,10,29.0,42.17,3.89,76.92,1.26
Android Iconic Bottle Black,786,246,3,1,24.0,31.3,1.22,33.33,0.13
Google NYC Campus Zip Hoodie,779,208,70,67,3555.0,26.7,33.65,95.71,8.6
Google Mural Notebook,778,119,17,18,404.0,15.3,14.29,105.88,2.31
Google Recycled Writing Set,771,198,52,47,295.0,25.68,26.26,90.38,6.1
Google Sunnyvale Campus Sticker,767,324,18,13,31.0,42.24,5.56,72.22,1.69
Google Mural Mug,763,185,48,41,675.0,24.25,25.95,85.42,5.37
Google Men's Discovery Lt. Rain Shell,746,136,2,3,222.0,18.23,1.47,150.0,0.4
Android Iconic Pen,744,161,25,23,98.0,21.64,15.53,92.0,3.09
Google Incognito Dopp Kit V2,738,40,18,15,965.0,5.42,45.0,83.33,2.03
Google Mountain View Campus Zip Hoodie,722,157,15,20,818.0,21.75,9.55,133.33,2.77
Android Pocket Toddler Tee White,714,63,0,1,18.0,8.82,0.0,,0.14
Google 16 oz Tumbler Blue,700,114,18,17,595.0,16.29,15.79,94.44,2.43
Google Incognito Techpack V2,697,59,40,26,4053.0,8.46,67.8,65.0,3.73
Android Pocket Youth Tee Green,680,168,10,10,220.0,24.71,5.95,100.0,1.47
Google Twill Cap Charcoal,676,196,59,30,425.0,28.99,30.1,50.85,4.44
Google LA Campus Sticker,676,292,38,34,92.0,43.2,13.01,89.47,5.03
Google PNW Campus Sticker,675,285,7,9,24.0,42.22,2.46,128.57,1.33
Google Kids Playful Tee,674,171,0,0,0.0,25.37,0.0,,0.0
Google Seattle Campus Sticker,662,286,32,27,94.0,43.2,11.19,84.38,4.08
Google Sunnyvale Campus Zip Hoodie,651,158,23,27,1161.0,24.27,14.56,117.39,4.15
Google Magnet,647,218,97,95,841.0,33.69,44.5,97.94,14.68
Google Boulder Campus Sticker,640,273,29,21,58.0,42.66,10.62,72.41,3.28
Google Felt Refillable Journal,640,70,40,26,577.0,10.94,57.14,65.0,4.06
Google NYC Campus Unisex Tee,636,200,7,9,140.0,31.45,3.5,128.57,1.42
Android Iconic Backpack,634,35,15,7,425.0,5.52,42.86,46.67,1.1
Google Jumbo Print Tee White,631,151,0,0,0.0,23.93,0.0,,0.0
Google Chrome Dinosaur Collectible,621,80,74,55,1788.0,12.88,92.5,74.32,8.86
Essential Canvas Tote,610,97,10,16,591.0,15.9,10.31,160.0,2.62
Android Pocket Youth Tee Navy,601,138,22,11,320.0,22.96,15.94,50.0,1.83
Google Bellevue Campus Sticker,591,243,8,7,31.0,41.12,3.29,87.5,1.18
Google Kirkland Campus Sticker,589,244,10,9,25.0,41.43,4.1,90.0,1.53
Google Women's Tech Fleece Grey,569,115,6,15,1403.0,20.21,5.22,250.0,2.64
Google Sherpa Vest Black,564,81,23,27,1844.0,14.36,28.4,117.39,4.79
Google Tee Mint Green,539,86,5,6,92.0,15.96,5.81,120.0,1.11
Google SF Campus Zip Hoodie,538,126,34,30,1272.0,23.42,26.98,88.24,5.58
Google Youth Jumbo Print Tee White,530,134,0,0,0.0,25.28,0.0,,0.0
Google NYC Campus Ladies Tee,525,161,26,24,428.0,30.67,16.15,92.31,4.57
Google Clear Framed Gray Shades,520,119,45,39,273.0,22.88,37.82,86.67,7.5
Google Sustainable Pencil Pouch,519,123,53,28,294.0,23.7,43.09,52.83,5.39
Android Lumberjack Pin,519,153,32,26,190.0,29.48,20.92,81.25,5.01
Google Women's Black Tee,518,176,7,9,142.0,33.98,3.98,128.57,1.74
Google Austin Campus Zip Hoodie,514,126,20,20,768.0,24.51,15.87,100.0,3.89
Android Iconic Notebook,508,160,11,8,538.0,31.5,6.88,72.73,1.57
Google Chicago Campus Zip Hoodie,507,123,19,16,668.0,24.26,15.45,84.21,3.16
Google Utensil Set,500,120,45,35,975.0,24.0,37.5,77.78,7.0
Google Soft Modal Scarf,495,49,37,33,1422.0,9.9,75.51,89.19,6.67
Google Sunnyvale Campus Mug,494,198,54,53,549.0,40.08,27.27,98.15,10.73
Daddy Works at Google Book,487,29,37,41,736.0,5.95,127.59,110.81,8.42
Android Puzzlebot v2,475,66,0,4,119.0,13.89,0.0,,0.84
Google Women's Discovery Lt. Rain Shell,466,81,6,5,245.0,17.38,7.41,83.33,1.07
Google Seaport Tote,462,73,35,24,1464.0,15.8,47.95,68.57,5.19
Google Infant Hero Onesie Grey,461,75,16,22,494.0,16.27,21.33,137.5,4.77
Google 24 oz Ring Bottle Red,460,82,30,27,249.0,17.83,36.59,90.0,5.87
#IamRemarkable Lapel Pin,459,118,20,15,90.0,25.71,16.95,75.0,3.27
Google Women's Softshell Moss,456,73,12,11,869.0,16.01,16.44,91.67,2.41
Google Women's Kirkland Pullover,449,65,3,3,140.0,14.48,4.62,100.0,0.67
Google Clear Framed Blue Shades,448,130,61,49,242.0,29.02,46.92,80.33,10.94
Google Incognito Laptop Organizer,445,41,17,15,887.0,9.21,41.46,88.24,3.37
Google Boulder Campus Zip Hoodie,423,102,18,17,640.0,24.11,17.65,94.44,4.02
Google Sunnyvale Campus Unisex Tee,420,135,11,17,278.0,32.14,8.15,154.55,4.05
Google LA Campus Zip Hoodie,415,105,25,19,677.0,25.3,23.81,76.0,4.58
Android Hipster Pin,405,95,10,9,93.0,23.46,10.53,90.0,2.22
Google Mountain View Campus Ladies Tee,375,104,23,20,354.0,27.73,22.12,86.96,5.33
Google Women's Pride Eco-Tee Black,372,93,9,11,220.0,25.0,9.68,122.22,2.96
Google Pen Lilac,366,126,40,36,99.0,34.43,31.75,90.0,9.84
Google Sunnyvale Campus Ladies Tee,359,107,17,20,340.0,29.81,15.89,117.65,5.57
Mommy Works at Google Book,355,29,26,25,436.0,8.17,89.66,96.15,7.04
Google SF Campus Unisex Tee,347,104,8,15,218.0,29.97,7.69,187.5,4.32
Google Beekeepers Onesie Pink,346,79,15,20,354.0,22.83,18.99,133.33,5.78
Stan and Friends Youth Tee Green,345,80,15,13,284.0,23.19,18.75,86.67,3.77
Google Austin Campus Mug,336,148,78,73,871.0,44.05,52.7,93.59,21.73
Google Sunnyvale Campus Bottle,329,99,11,13,208.0,30.09,11.11,118.18,3.95
Google Pen Neon Coral,304,126,39,32,96.0,41.45,30.95,82.05,10.53
Google LA Campus Mug,294,151,62,53,463.0,51.36,41.06,85.48,18.03
Android Geek Pin,294,80,7,6,71.0,27.21,8.75,85.71,2.04
Google SF Campus Bottle,291,105,34,31,507.0,36.08,32.38,91.18,10.65
